,descricao_detalhada,marca,departamento_macro,departamento,categoria_familia,tipo_produto,subtipo_funcao,segmento_mercado,publico_ou_tom,grupo_navegacao,apresentacao_publico
382,CONDICIONADOR VITA DERM AÇAÍ JUÁ 200G,VITA DERM,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
383,CONDICIONADOR WELLA PROSERIES COLOR 200ML ,WELLA PROSERIES,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
384,CONDICIONADOR ELSEVE QUERA-LISO LEVE E SEDOSO 200ML.,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
385,CONDICIONADOR SEDA KERAFORCE QUÍMICA 325ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
386,COND SEDA HIDRAT ANTI NOS 350ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
387,CONDICIONADOR ANTIQUEDA CLEAR DERMA SOLUTIONS 300ML,CLEAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,ANTIQUEDA,PREMIUM,FEMININO,,
388,CONDICIONADOR JOICO BLONDE LIFE BRIG 250ML,JOICO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
389,CONDICIONADOR FRUCTIS FRESCOR VITAMINADO 200ML,FRUCTIS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,POPULAR,FEMININO,,
390,Condicionador L'Oréal Paris Elseve Reparação Total 5+ Com 400ml,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
391,Condicionador Pantene Expert Collection Advanced Keratin Repair 250ml,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
392,CONDICIONADOR PANTENE LISO EXTREMO 750ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
393,CONDICIONADOR SEDA PUREZA DETOX 325ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
394,CONDICIONADOR DOVE HIDRATAÇÃO INTENSA 200ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
395,CONDICIONADOR SEDA BOMBA DE ARGAN 325ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
396,CONDICIONADOR ÉH CABELOS COLORIDOS 300ML,EH,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
397,CONDICIONADOR PANTENE HIDRATAÇÃO 175ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
398,CONDICIONADOR FRUCTIS CABELOS NORMAIS 200ML.,FRUCTIS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,POPULAR,FEMININO,,
399,CONDICIONADOR JOHN FRIEDA GO BLONDER LIGHTENING 245ML,JOHN FRIEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
400,CONDICIONADOR CADIVEU HAIR REMEDY 250ML,CADIVEU,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,VEGANO,SUPER PREMIUM,FEMININO,,
401,CONDICIONADOR ELSEVE SUPREME CONTROL 4D 200ML,ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
402,CONDICIONADOR EUDORA SIÀGE VOLUME IMEDIATO 200ML,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
403,COND TRATTA CACHOS 290ML,TRATTA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
404,COND WELLA PROSERIES COLOR 500ML,WELLA PROSERIES,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
405,CRM DE TRAT CAPIL NOVEX BARB 1KG,NOVEX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
406,CONDICIONADOR KOLENE CURVATURAS NUTRIÇÃO & ULTRADEFINIÇÃO MANTEIGA DE ABACATE + COLÁGENO VEGETAL FRASCO 300ML,KOLENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
407,COND FIO&PONTAS S RED VOL 300ML,FIO&PONTAS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
408,CONDICIONADOR ÓLEO DE COCO 3X1 BOZZANO CACHOS FRASCO 200ML,BOZZANO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRADICIONAL,POPULAR,UNISSEX,,
409,"CONDICIONADOR BIO EXTRATUS ANTIQUEDA JABORANDI ALECRIM, QUILAIA 250ML",BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
410,CONDICIONADOR DOVE RITUAL DETOX 400 ML,DOVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
411,CONDICIONADOR OX TUTANO BOI HIDRATANTE 250ML,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
412,SUPER CONDICIONADOR TRESEMMÉ 1 MINUTO BLINDAGEM ANTIFRIZZ 170ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
413,CONDICIONADOR GRANADO TERRAPEUTICS LAVANDA 180ML,GRANADO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
414,COND OPUS SALON DESMAIA FIOS 300ML,SALON OPUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
415,CONDICIONADOR EUDORA SIÀGE NUTRI ROSÉ 400ML,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,PREMIUM,FEMININO,,
416,COND PLANTONY OJON 250ML,PLANTONY,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
417,CONDICIONADOR VULT CABELOS ÓLEOS PODEROSOS NUTRIÇÃO 325ML,VULT CABELO,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
418,CONDICIONADOR SEDA LISO EXTREMO FRASCO 325ML,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,SUPER PREMIUM,FEMININO,,
419,CONDICIONADOR OX GLICÓLICO 240ML,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,BASICO,FEMININO,,
420,CONDICIONADOR EUME RECONSTRUÇÃO 250ML,EUME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
421,CONDICIONADOR PANTENE PROV-MIRACLES QUERATINA 250ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,CONDICIONADOR,TRATAMENTO,INTERMEDIARIO,FEMININO,,
422,MÁSCARA CAPILAR EUDORA SIÀGE PRÉ E PÓS-ALISAMENTO CAUTERIZAÇÃO DOS LISOS 250G,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
423,"Creme de Tratamento L'Oréal Paris Elseve Hidra Hialurônico, 300g",ELSEVE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,CREME,,
424,CREME DE TRATAMENTO MONANGE PROTEÇÃO DA COR 300G,MONANGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,ANTICASPA,BASICO,CREME,,
425,CREME DE TRATAMENTO SEDA ÓLEO HIDRATAÇÃO 400G,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
426,TRATAMENTO CAPILAR  SKAFE CRESCIMENTO 10ML,SKAFE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,HIDRATANTE,BASICO,CREME,,
427,MASCARA FOREVER LISS DESMAIA CABELO 350GR,FOREVER LISS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,SILICONE,PREMIUM,FEMININO,,
428,Máscara de Tratamento Pantene Summer 300ml,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,CREME,,
429,MÁSCARA WIDI CARE HIDRO-NUTRITIVA JUBA 500G,WIDI CARE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,VEGANO,PREMIUM,CREME,,
430,LEAVE-IN BED HEAD SCREW IT 100ML,BED HEAD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,LOCAO,,
431,CREME DE TRATAMENTO TRESEMME QUERATINA 1KG,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,CREME,,
432,CREME DE TRATAMENTO TRESEMMÉ PROTEÇÃO TERMICA 1KG,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,CREME,,
433,MÁSCARA CAPILAR EUDORA CICA-THERAPY  REFIL 250G,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
434,CREME DE TRATAMENTO WELLA PROSERIES COLOR 300ML,WELLA PROSERIES,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
435,CREME DE TRATAMENTO NIELY BOMBA COMPRIDOS + FORTES AMPOLA 150ML,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,AMPOLA,,
436,CREME DE TRATAMENTO BELEZA NATURAL CACHOS INTENSOS 500G,BELEZA NATURAL,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
437,MASC HID BLOND BIOFLEX 250G,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
438,CREME DE TRATAMENTO HEAD & SHOULDERS DETOX 30ML,HEAD & SHOULDERS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,ANTICASPA,ANTICASPA,CREME,,
439,CREME DE TRATAMENTO BIO EXTRATUS PÓS QUIMICA 1KG,BIO EXTRATUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
440,ACIDIFICANTE OX GLICÓLICO 200ML,OX,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,SPRAY,,
441,CREME DE TRATAMENTO SEDA CACHOS DEFINIDOS 400G,SEDA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
442,MASCARA DE TRATAMENTO BED HEAD RECOVERY CABELOS RESSECADOS 200G,BED HEAD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
443,SPRAY TRUSS RECONSTRUTOR CAPILAR USO OBRIGATORIO LA MODA 260ML,TRUSS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,SPRAY,,
444,TRATAMENTO AUSSIE SMOOTH 3 MINUTE MIRACLE 236ML,AUSSIE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
445,SERUM NEXXUS NUTRITIVE ENCAPSULATE 60ML,NEXXUS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,SERUM,,
446,QUERATINA E PRO-VITAMINA B5 PANTENE PRO-V MIRACLES PREENCHE   BLINDA FRASCO 160ML SPRAY,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,TONICO,,
447,AMPOLA CAPILAR PANTENE  PÉROLAS PRO-VITAMINAS NUTRIÇÃO UMECTANTE 45 ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,CREME,,
448,MÁSCARA EUDORA SIAGE NUTRI OURO 250G,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
449,MASCARA CAPILAR BRAE STAGES NUTRIÇÃO 200G,BRAÉ,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,SUPER PREMIUM,CREME,,
450,MÁSCARA CAPILAR AMEND SOLAR DEFENSE ANTIDANOS 300G,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
451,MÁSCARA AMEND PÓS PROGRESSIVA RECONSTRUÇÃO INTENSIFICADORA 300G,AMEND,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
452,MÁSCARA CAPILAR CONCENTRADA EUDORA SIÀGE NUTRI ACID.COMPLEX 250G,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
453,TÔNICO FORTALECEDOR BIOTINA E VITAMINA B5 NIELY GOLD SALVA FIOS FRASCO 100ML SPRAY,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,TONICO,,
454,MASCARA HIDRATANTE P MOS - HAND MASK,OCEANE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,HIDRATANTE,BASICO,CREME,,
455,TON CAP NATUHAIR ALECRIM 115ML OLEO,NATUHAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,ANTICASPA,ANTICASPA,CREME,,
456,TRATAMENTO AUSSIE STRONG 3 MINUTE MIRACLE 236ML,AUSSIE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
457,CREME DE TRATAMENTO TRESEMMÉ DOSE DE CHOQUE BLINDAGEM PLATINUM COM 3 AMPOLAS DE 12ML,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,AMPOLA,,
458,KIT CREME DE TRATAMENTO KOLENE HIDRATAÇÃO + NUTRIÇÃO + RECONSTRUÇÃO CRONOGRAMA COMPLETO 3 UNIDADES DE 500G CADA,KOLENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,FEMININO,,
459,TON CAP NATUHAIR RICINO 115ML OLEO,NATUHAIR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,ANTICASPA,ANTICASPA,CREME,,
460,KIT SH INOAR DAYMOIST 250ML + COND,INOAR,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,ANTICASPA,ANTICASPA,CREME,,
461,MÁSCARA CAPILAR REPOSITORA EUDORA SIÀGE EXPERT REGENERAÇÃO PÓS QUÍMICA 500G,SIAGE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,CREME,,
462,TONICO LOVE BEAUTY AND PLANET CRESCIMENTO SAUDAVEL 120ML,LOVE BEAUTY AND PLANET,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,VEGANO,PREMIUM,TONICO,,
463,CREME DE TRATAMENTO TRESEMME SELAGEM CAPILAR CRESPO ORIGINAL 1KG,TRESEMME,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,CREME,,
464,Máscara Revitalizador de Brilho Revie 170ml,REVIE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
465,CREME DE TRATAMENTO PANTENE SERUM REPARADOR 151ML,PANTENE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,INTERMEDIARIO,SERUM,,
466,COND MASCARA CAPICILIN SOS 280 G,CAPICILIN,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,HIDRATANTE,BASICO,FEMININO,,
467,LEAVE IN WELLA INVIGO SUN 150ML,WELLA,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,PREMIUM,FEMININO,,
468,CREME DE HIDRATAÇÃO MÁXIMA NIELY  GOLD EXTRA BRILHO 430G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
469,CREME DE TRATAMENTO FRUCTIS LISO ABSOLUTO PÓS QUIMICA 300ML,FRUCTIS,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
470,TRATAMENTO CAPILAR SKAFE VITAMINA A 10ML,SKAFE,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,FEMININO,,
471,CREME MULTIFUNCIONAL NIELY GOLD CACHOS DEFINIÇÃO PROLONGADA 72H COM 430G,NIELY GOLD,NAO MEDICAMENTO,BELEZA,CUIDADO CAPILAR,TRATAMENTO,TRADICIONAL,BASICO,CREME,,
472,PROTETOR SOLAR CAPILAR SPRAY DERMAGE PHOTOAGE KPF50+ 120ML,DERMAGE,NAO MEDICAMENTO,DERMO,CUIDADO CAPILAR,PROTETOR CAPILAR,PFS50,TODO TIPO DE PELE,SPRAY,,
0,ACETONA RIOQUIMICA 500ML,RIOQUIMICA,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
1,REMOV ESM ZULU SEDUCTION 9,ZULU,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
2,REMOVEDOR CARE ESMALTE RISQUÉ 100ML,RISQUE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
3,REMOVEDOR DE ESMALTE AMORAVEL BEAUTY EXPRESS 75ML,AMORAVEL,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
4,REMOV ESM RICCA LENCO 32UND,RICCA,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,LENCO,,,REMOVEDOR,NAO DEFINIDO
5,LENÇO REMOVEDOR DE ESMALTE AMORAVEL UVA COM 25 UNIDADES,AMORAVEL,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
6,ACETONA ALYNE 100ML,ALYNE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
7,ACETONA RISQUÉ 100ML,RISQUE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
8,LENÇO REMOVEDOR DE ESMALTE AMORAVEL OJON COM 25 UNIDADES,AMORAVEL,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
9,LENÇOS REMOVEDOR DE ESMALTE OCEANE FEMME MORANGO COM 25 UNIDADES,OCEANE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
10,REMOV ESM FARMAX REMOVEDOR SEM ACET. UVA 100ML 12CX,FARMAX,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
11,REMOVEDOR DE ESMALTES MADREVITA COM 100ML,MADREVITA,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
12,ACETONA ALYNE 100ML,ALYNE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
13,REMOVEDOR ESMALTE PROFISSIONAL BE BETTER COM 8ML,BE BETTER,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
14,REMOVEDOR DE ESMALTE DAILUS 90ML,DAILUS,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
15,LENÇO REMOVEDOR DE ESMALTE AMORAVEL AMENDOA COM 25 UNIDADES,AMORAVEL,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
16,ACETONA FLORAMELIA 100ML,FLORAMELIA,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
17,ACETONA RIOQUIMICA 98ML,RIOQUIMICA,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
18,REMOV ESM FARMAX 10,FARMAX,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
19,REMOV ESM IDEAL DE UVA 8ML,IDEAL,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
20,ACETONA DAUF 100ML,DAUF,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
21,REMOVEDOR ESMALTE DAUF SEM ACETONA 100ML,DAUF,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
22,ESPONJA REMOVEDORA DE ESMALTE DAUF SEM ACETONA UVA 75ML,DAUF,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
23,REMOVEDOR DE ESMALTE DAUF COM ACETONA 100ML,DAUF,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
24,REMOVEDOR DE ESMALTE ADV COM ACETONA 100ML,ADV,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
25,ACETONA MADREVITA 100ML,MADREVITA,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
26,LENÇOS REMOVEDOR DE ESMALTE OCEANE FEMME SEM PERFUME COM 25 UNIDADES,OCEANE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
27,REMOV ESM FARMAX VIT E 10,FARMAX,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
28,ACETONA ADV 100ML KIT ,ADV,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
29,ACETONA ADV P MENOS 100ML,PAGUE MENOS,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
30,ACETONA VAN ESS 100ML,VAN ESS,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
31,CANETA REMOVEDORA DE ESMALTE OCEANE FEMME,OCEANE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
32,LENÇO REMOVEDOR DE ESMALTE OCEANE FEMME,OCEANE,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,SEM ACETONA,,,REMOVEDOR,REGULAR
33,REMOV ESM FARMAX REMOVEDOR COM ACETONA FARMAX 80ML 12CX,FARMAX,NAO MEDICAMENTO,BELEZA,MANICURE E PEDICURE,REMOVEDOR ESMALTE,COM ACETONA,,,REMOVEDOR,REGULAR
